No.,Entity_Name,Region,Description,Business,Services,Website,Address,Contact_Person,Tel,Fax,Email,Others,Role1,Role_Description1,Product1,Quantity1,Price1,Role2,Role_Description2,Product2
11,Success Group Trading Pte Ltd, Singapore,,Distributor," 1. Forwarding
2. Export & import
3. Cargo handling
4. Documentation, warehousing and door to door service",,"605b, Macpherson Road
#07-11 Citimac Building
Singapore 368239
Singapore",,+65 6339 0450, +65 +65 6339 0490,sheila_myo@yahoo.com.sg,Established: 2005,Supplier,,"I. Seafood
1. Frozen fish(rohu, tilapia, hilsa, etc )
II. Fruit and Vegetables
1. Beans product ( urad gota/dral, moung whole, split, washed,
 red kidney bean, black eyed bean, Myanmar white rice)",,,Buyer,,"1. Used engine oil
2. Used cooking oil
3. Waste paper
4. Scrap metal
5. Used & new tyre
6. Rims
7. PP yarn"
12,Indo World Plaza,Indonesia,,Distributor,Import-export,,"Indonesia
Bogor 16144
Jawa Barat Indonesia",,,,,"Established: 2020 
Standards: 63122",Supplier,,"I.Seafood(Frozen)
1. loligo squid
2. goat fish
3. tuna
4. crab meat
",,,Buyer,,"I. Spices
1. Clove
2.Copra
3. Nutmeg"
13,Inox An Suong,Viet Nam,,Distributor,"1.Distribute and Export
2. Food Product Service
3. OEM",,"26, Dinh Bo Linh, Binh Thanh, Ho Chi Minh City
Ho Chi Minh
Viet Nam",Amber Designation: -,-896611829,,,"Established: 2004
Approximate Annual Sales: Upto 250,000 USD",Supplier,,"I. Fruit and Vegetables
1. Sea moss
2. Nata de coco
3. Coconut
4. Desiccated coconut
5. Dried soft mango
6.Dried sugarcane

II. Pet Care Product
1. Coffee wood dog chew

III. Materials
1. Rattan
2. Fish scales

IV. Flavoring/Seasoning:
1. Anchovy

V. Cultural Items:
Joss powder",,,,,
14,Procare Limited,Hong Kong,,Distributor,Distribution and Export Service,,"Kowloon, Hong Kong
",,,,,Established: 2020,Supplier,,"I. Seafood(Frozen)
1.  Fish
2. Crab
3. Squid
4. Prawn/Shrimps
5. Crispy Grass Carp

II. Frozen Poultry
1.Chicken

III. Vegertable and Fruit
1. Walnut",,,,,
15,"Xiamen Wanzhouxing Trading Co., Ltd.",China ,,Distributor,Distribute Service,,"Xiamen ??China
Postcode: 361001
",,,,,Established: 2021,Supplier,,"I. Seafood  (Fresh/ Frozen)
1. Tilapia, 
2. Golden pompano
3. Yellow croaker
4. Barramundi
5. Pacific mackerel
6. Horse mackerel
7. Round scad
8. Sardine",,,,,
16,Karver Technologies,United States,,Distributor,Distribution Service,,"214 S 260 W, Orem, 84058
Utah 84058
United States",,,,,Established: 2010,Supplier,,"I. Staples
1. Rice
2. Flour
3. Oil

II. Flavour
1. Vinegar

III. Fruit and Vegetables
1. Lentil
2. Bean
3. Chickpeas
4. Sliced tomatoes

IV. Seafood (Value Add)
1. Canned seafood
2. Sardines
",,,,,
17,Godang Galaksi Gemilang,Indonesia,,Distributor,Distribution Service,,"Jl. Gorontalo Raya No A16 Rt12/rw01
Sungai Bambu. Tanjung Priok
Jakarta 14330
D. K. I. Jakarta Indonesia",,,,,"Established: 2024 
Standards: GODANG GALAKSI GEMILANG",Supplier,,"I. Frozen seafood
all kind of product seafood

II. Fruit and Vegetable
1. Dry copra smookie

III. Spices
dry nutmeg

IV. Snack
coconut Fruit to scale the collour dark brown

",,,,,
18,CV. Hokky Makmur, Indonesia,,Distributor,Distribution Service,,"Sidoarjo
East Java Indonesia",,,,,Established: 2015,Supplier,,"I. Frozen seafood 
1. Croaker fish 
2. Ribbon fish
3. Sea snail
4.Leather jacket fish
5. Squid",,,,,
19,Quoc Toan Seafoods Company Limited,Viet Nam,,"Producer, Distributor","1. Manufacture Service
2. Export Service",,"Ho Chi Minh City, Viet Nam
Hcm
VN Viet Nam",,,,,"Established: 2001 
Standards: BRC, IUU, HACCP, BAP, COMPLIED WITH EU STANDARD (DL 738 )",Supplier,,"I. Seafood
i. Fish
1. Grouper
2. Barramundi
3. Parrotfish
4. Red Snapper
5. Emperor
6. Snapper/Goldband Snapper
7. Crimson Snapper
8. Ruby/Queen Snapper
9. Red Mullet
10. Mahi Mahi
11. Red Squirrel Snapper
12. Red Fusilier/Fusilier
13. White Snapper
14. Sweetlip Snapper
15. Pearl Perch
16. Doctor Fish/Bluespine Unicornfish
17. Unicorn Leatherjacket Filefish
18. Round Scad
19. Salmon
ii. Cephalopods:
Octopus
Squid",,,,,
20,"Qingdao Lingte Foods Co., Ltd",China,,"Producer, Distributor","1. Food Processing Service
2. Distribution Service
",,"Shandong
Qingdao 67880
China",,,,,"Established: 2006 
Standards: FDA, BRC, HACCP, IFS",Supplier,,"I.Seafood
i. Frozen Seafood:
1. Frozen Fish Fillet
2. Breaded Seafood
3. Salted Fish
4. Seafood Mix
ii. Fish Fillets:
1. Seabass Fish
2. Mahi Mahi Fillet
3. John Dory Fillet
4. Red Gurnard Fillet
iii. Other Seafood:
1. Squid Tube
2. Blue Swimming Crab",,,,,
21,"Viet Co., Ltd.", Viet Nam,,Distributor,Distribution Service,,"Ho Chi Minh
Ho Chi Minh 70000
Viet Nam",,,,,Established: 2002,Supplier,,"I. Seaweed & Algae:
Eucheuma Cottonii
Kappaphycus Alvarezii
Irish Seamoss
Sargassum
Gracilaria
Ulva Lactuca
Sea Grapes (Caulerpa Lentillifera)
Seaweed Powder
II. Vegetables and Fruits:
i Fruit
Rambutan
Lychee
Mango
Lime
Papaya
Durian
Dragon Fruit
Coconut
Pineapple
Jackfruit
Calamansi
ii. Vegetables
Sweet Potato
Cassava
Carrot
Yam
Taro
Shallot
Onion
IV. Leaves & Herbs:

Betel Leaf
Pandan Leaf
Lemongrass
Aloe Vera Leaf
V. Processed & Canned:

Nata De Coco
Aloe Vera Gel Jelly
Frozen Sugarcane Stick
Rice Paper
Canned Gherkin
VI. Spices:

Turmeric
Ginger
Cinnamon
Star Aniseed
VII. Miscellaneous:

Raw Sea Salt
Straw Hats",,,,,
